"user_id","game_name","payment_month","revenue_amount_usd","language","has_older_device_model","age","engagement_month","churn_month","last_month","engagement_range","churn_range","lt"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-10-01 00:00:00+00","16.44","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","5.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01 00:00:00+00","15.27","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","6.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-07-01 00:00:00+00","15.96","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01 00:00:00+00","23.97","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","6.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-08-01 00:00:00+00","13.53","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-07-01 00:00:00+00","22.71","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-11-01 00:00:00+00","21.54","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","6.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-06-01 00:00:00+00","16.23","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","1.00000000000000000000","6.0000000000000000"
"0A5RkQrm+GBgG7KSFk/xhw==","game 3","2022-09-01 00:00:00+00","35.49","uk","",31,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","4.0000000000000000","1.00000000000000000000","6.0000000000000000"
"0afix9qVNfU3GJY1n0QGkw==","game 3","2022-10-01 00:00:00+00","13.23","uk","",25,"2022-09-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","2.0000000000000000","1.00000000000000000000"
