"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","mod_churn_month","lifetime_in_month"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-09-01","14.04","ru","",18,"2022-09-01","2022-12-01","3"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-10-01","56.04","ru","",18,"2022-09-01","2022-12-01","3"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-11-01","24.84","ru","",18,"2022-09-01","2022-12-01","3"
"2onLVyXEEj2aH+D4N9ldYQ==","game 3","2022-08-01","50.04","uk","",16,"2022-08-01","","-7"
"2onLVyXEEj2aH+D4N9ldYQ==","game 3","2022-12-01","106.38","uk","",16,"2022-08-01","","-7"
"2onLVyXEEj2aH+D4N9ldYQ==","game 3","2022-11-01","22.68","uk","",16,"2022-08-01","","-7"
"2onLVyXEEj2aH+D4N9ldYQ==","game 3","2022-10-01","42.72","uk","",16,"2022-08-01","","-7"
"2Tm77AxZ7h7oCNKgCgMpnQ==","game 3","2022-10-01","21.87","uk","",23,"2022-04-01","2022-12-01","8"
"2Tm77AxZ7h7oCNKgCgMpnQ==","game 3","2022-11-01","15.99","uk","",23,"2022-04-01","2022-12-01","8"
"2Tm77AxZ7h7oCNKgCgMpnQ==","game 3","2022-07-01","38.10","uk","",23,"2022-04-01","2022-12-01","8"
"2Tm77AxZ7h7oCNKgCgMpnQ==","game 3","2022-09-01","12.12","uk","",23,"2022-04-01","2022-12-01","8"
"2Tm77AxZ7h7oCNKgCgMpnQ==","game 3","2022-05-01","72.06","uk","",23,"2022-04-01","2022-12-01","8"
"2Tm77AxZ7h7oCNKgCgMpnQ==","game 3","2022-04-01","54.96","uk","",23,"2022-04-01","2022-12-01","8"
"2Tm77AxZ7h7oCNKgCgMpnQ==","game 3","2022-06-01","25.35","uk","",23,"2022-04-01","2022-12-01","8"
"3iITAz/ADjFv3PDTgTjxSg==","game 3","2022-08-01","97.08","ru","",16,"2022-03-01","2022-10-01","7"
"3iITAz/ADjFv3PDTgTjxSg==","game 3","2022-03-01","23.76","ru","",16,"2022-03-01","2022-10-01","7"
"3iITAz/ADjFv3PDTgTjxSg==","game 3","2022-05-01","15.69","ru","",16,"2022-03-01","2022-10-01","7"
"3iITAz/ADjFv3PDTgTjxSg==","game 3","2022-06-01","34.35","ru","",16,"2022-03-01","2022-10-01","7"
"3iITAz/ADjFv3PDTgTjxSg==","game 3","2022-04-01","81.42","ru","",16,"2022-03-01","2022-10-01","7"
"3iITAz/ADjFv3PDTgTjxSg==","game 3","2022-09-01","18.72","ru","",16,"2022-03-01","2022-10-01","7"
"3iITAz/ADjFv3PDTgTjxSg==","game 3","2022-07-01","50.58","ru","",16,"2022-03-01","2022-10-01","7"
"3KHhqZr7/1n2+bTP13WuXA==","game 3","2022-09-01","48.27","uk","",16,"2022-06-01","2022-11-01","5"
"3KHhqZr7/1n2+bTP13WuXA==","game 3","2022-10-01","29.22","uk","",16,"2022-06-01","2022-11-01","5"
"3KHhqZr7/1n2+bTP13WuXA==","game 3","2022-06-01","74.85","uk","",16,"2022-06-01","2022-11-01","5"
"3KHhqZr7/1n2+bTP13WuXA==","game 3","2022-08-01","20.19","uk","",16,"2022-06-01","2022-11-01","5"
"3KSfEl7FcP/+5FSUNXs5Aw==","game 3","2022-10-01","23.31","ru","",28,"2022-10-01","2022-11-01","1"
"3OXz+Ar2gN+zfGLZTRCVMQ==","game 3","2022-12-01","18.9","uk","",16,"2022-12-01","","-11"
"3rCdNEPkh3vwmYB0BVadEw==","game 3","2022-05-01","22.86","ru","",27,"2022-05-01","2022-09-01","4"
"3rCdNEPkh3vwmYB0BVadEw==","game 3","2022-07-01","21.87","ru","",27,"2022-05-01","2022-09-01","4"
"3rCdNEPkh3vwmYB0BVadEw==","game 3","2022-08-01","17.34","ru","",27,"2022-05-01","2022-09-01","4"
"3TfpxDVNF0T+g4S60EOCBw==","game 3","2022-11-01","15.27","uk","",28,"2022-11-01","2022-12-01","1"
"3v8rT35Ra6ui/zatnMoTIw==","game 3","2022-12-01","43.62","uk","",28,"2022-11-01","","-10"
"3v8rT35Ra6ui/zatnMoTIw==","game 3","2022-11-01","17.85","uk","",28,"2022-11-01","","-10"
"3Whh6FLR1MSfsuHKVdCEYQ==","game 3","2022-08-01","17.16","uk",1,21,"2022-04-01","","-3"
"3Whh6FLR1MSfsuHKVdCEYQ==","game 3","2022-12-01","26.73","uk",1,21,"2022-04-01","","-3"
"3Whh6FLR1MSfsuHKVdCEYQ==","game 3","2022-06-01","20.13","uk",1,21,"2022-04-01","","-3"
"3Whh6FLR1MSfsuHKVdCEYQ==","game 3","2022-07-01","15.78","uk",1,21,"2022-04-01","","-3"
"3Whh6FLR1MSfsuHKVdCEYQ==","game 3","2022-09-01","19.74","uk",1,21,"2022-04-01","","-3"
"3Whh6FLR1MSfsuHKVdCEYQ==","game 3","2022-05-01","12.36","uk",1,21,"2022-04-01","","-3"
"3Whh6FLR1MSfsuHKVdCEYQ==","game 3","2022-04-01","59.67","uk",1,21,"2022-04-01","","-3"
"3Xuq0acIoGEgw19qflIoog==","game 3","2022-08-01","19.86","uk","",25,"2022-06-01","2022-11-01","5"
"3Xuq0acIoGEgw19qflIoog==","game 3","2022-07-01","41.73","uk","",25,"2022-06-01","2022-11-01","5"
"3Xuq0acIoGEgw19qflIoog==","game 3","2022-06-01","12.69","uk","",25,"2022-06-01","2022-11-01","5"
"3Xuq0acIoGEgw19qflIoog==","game 3","2022-09-01","34.32","uk","",25,"2022-06-01","2022-11-01","5"
"3Xuq0acIoGEgw19qflIoog==","game 3","2022-10-01","30.9","uk","",25,"2022-06-01","2022-11-01","5"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-04-01","14.94","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-07-01","89.28","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-03-01","27.15","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-06-01","22.83","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-12-01","21.75","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-11-01","31.26","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-09-01","18.24","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-08-01","16.56","uk",1,20,"2022-03-01","","-2"
"4b7l8C489HEJirtoe7xtFg==","game 3","2022-05-01","26.40","uk",1,20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-03-01","17.79","ru","",20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-04-01","125.97","ru","",20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-08-01","47.91","ru","",20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-07-01","40.71","ru","",20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-09-01","23.34","ru","",20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-05-01","91.68","ru","",20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-12-01","92.10","ru","",20,"2022-03-01","","-2"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-06-01","27.87","ru","",20,"2022-03-01","","-2"
"4EiWC2ewiX2A7i9NuBAefQ==","game 3","2022-10-01","57.39","uk",1,18,"2022-09-01","2022-12-01","3"
"4EiWC2ewiX2A7i9NuBAefQ==","game 3","2022-11-01","29.79","uk",1,18,"2022-09-01","2022-12-01","3"
"4EiWC2ewiX2A7i9NuBAefQ==","game 3","2022-09-01","18.69","uk",1,18,"2022-09-01","2022-12-01","3"
"4oH5e29koOH9zNYW8Kwcsg==","game 3","2022-07-01","18.06","uk","",28,"2022-05-01","2022-09-01","4"
"4oH5e29koOH9zNYW8Kwcsg==","game 3","2022-05-01","12.99","uk","",28,"2022-05-01","2022-09-01","4"
"4oH5e29koOH9zNYW8Kwcsg==","game 3","2022-08-01","12.51","uk","",28,"2022-05-01","2022-09-01","4"
"4pssft0TgDfiQexjbe25lw==","game 3","2022-08-01","59.40","ru","",26,"2022-06-01","2022-12-01","6"
"4pssft0TgDfiQexjbe25lw==","game 3","2022-11-01","37.80","ru","",26,"2022-06-01","2022-12-01","6"
"4pssft0TgDfiQexjbe25lw==","game 3","2022-07-01","14.43","ru","",26,"2022-06-01","2022-12-01","6"
"4pssft0TgDfiQexjbe25lw==","game 3","2022-06-01","14.76","ru","",26,"2022-06-01","2022-12-01","6"
"54ouP7lBhVCeV8ftS1Oj4Q==","game 3","2022-12-01","28.23","ru","",21,"2022-11-01","","-10"
"54ouP7lBhVCeV8ftS1Oj4Q==","game 3","2022-11-01","29.22","ru","",21,"2022-11-01","","-10"
"5a/eDajN+4bJdigfI5TWoQ==","game 3","2022-07-01","12.87","ru","",17,"2022-07-01","2022-08-01","1"
"5fGaUgWk82R8c6U6A5d9pg==","game 3","2022-12-01","17.28","uk","",31,"2022-12-01","","-11"
"5n2VR2SS79K3vJ0/V2A8RQ==","game 3","2022-09-01","32.04","ru","",27,"2022-08-01","2022-10-01","2"
"5n2VR2SS79K3vJ0/V2A8RQ==","game 3","2022-08-01","47.13","ru","",27,"2022-08-01","2022-10-01","2"
"6NexxpTuLaFmuoksJ0l8rg==","game 3","2022-12-01","102.84","uk","",24,"2022-10-01","","-9"
"6NexxpTuLaFmuoksJ0l8rg==","game 3","2022-10-01","19.17","uk","",24,"2022-10-01","","-9"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-10-01","151.68","uk","",19,"2022-05-01","","-4"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-05-01","22.74","uk","",19,"2022-05-01","","-4"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-09-01","41.55","uk","",19,"2022-05-01","","-4"
"6We7zBO7mVbNxGEl/xPKVg==","game 3","2022-07-01","118.83","uk","",19,"2022-05-01","","-4"
