"user_id","game_name","payment_date","revenue_amount_usd","user_id","game_name","language","has_older_device_model","age"
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-11-22,12.81,nklUUkirU5GYU5ZtNOgx8w==,game 3,ru,true,20
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-11-16,14.52,fDgyPW0yy0+9ietMvl0vmA==,game 3,ru,false,18
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-08-25,19.17,Ghk2iJmzSUW4qLsmJgwOcw==,game 3,uk,false,16
crKNTIblJ0113SKEtSJQHw==,game 3,2022-05-31,25.29,crKNTIblJ0113SKEtSJQHw==,game 3,uk,false,16
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-10-06,24.09,Veep00i4vvZbTAVD6GMoiA==,game 3,uk,false,38
fH7uxifYBCx0TULRrcqajg==,game 3,2022-12-26,18.36,fH7uxifYBCx0TULRrcqajg==,game 3,uk,false,23
xZMY1f3dijkAd2lWkkI4Ow==,game 3,2022-12-09,24.69,xZMY1f3dijkAd2lWkkI4Ow==,game 3,uk,true,21
"72brUr/DKItStlTen5pHYg==",game 3,2022-06-21,25.2,"72brUr/DKItStlTen5pHYg==",game 3,uk,false,24
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-07-24,18.27,F03P4YcFbbtcWUlujjIQmQ==,game 3,ru,true,20
"1dvc3uv3gFy83YY5oJeFkQ==",game 3,2022-08-19,22.44,"1dvc3uv3gFy83YY5oJeFkQ==",game 3,uk,false,17
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-09-28,18.93,Veep00i4vvZbTAVD6GMoiA==,game 3,uk,false,38
HQB3hZuYcu0z8jVIl5bbug==,game 3,2022-12-08,22.26,HQB3hZuYcu0z8jVIl5bbug==,game 3,uk,false,17
ORSvkhCut21rsk0cVtJfJA==,game 3,2022-12-11,34.35,ORSvkhCut21rsk0cVtJfJA==,game 3,uk,false,21
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-06-21,19.41,jVhb69DTRT5TSWYEiUrlbg==,game 3,uk,false,20
mRT725ZK68AhE3Sk9xH5cw==,game 3,2022-12-05,26.55,mRT725ZK68AhE3Sk9xH5cw==,game 3,ru,false,29
